,Institute,City,"Degree, Duration",Fee,Deadline,Programs
0,1. Liaquat University Of Medical And Health Sciences,Jamshoro,"MBBS , 5 Years",31900.0,11-12-2023,Medicine - Mbbs
1,2. Jinnah Sindh Medical University,Karachi,"MBBS , 5 Years",31900.0,11-12-2023,Medicine - Mbbs
2,3. Fatima Jinnah Medical University,Lahore,"MBBS , 5 Years",15630.0,31-10-2023,Medicine - Mbbs
3,4. King Edward Medical University / Mayo Hospital,Lahore,"MBBS , 5 Years",15630.0,31-10-2023,Medicine - Mbbs
4,5. Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,"BDS , 4 Years",31900.0,11-12-2023,Medicine - Mbbs
5,6. Nishtar Medical College / Nishter Hospital,Multan,"MBBS , 5 Years",15630.0,31-10-2023,Medicine - Mbbs
6,7. Peoples University Of Medical And Health Sciences For Women,Nawab Shah,"MBBS , 5 Years",60800.0,20-12-2023,Medicine - Mbbs
7,8. Bolan Medical College / Bolan Hospital,Quetta,"MBBS , 5 Years",70000.0,07-08-2023,Medicine - Mbbs
8,9. Rawalpindi Medical University,Rawalpindi,"MBBS , 5 Years",23000.0,31-10-2023,Medicine - Mbbs
9,10. The University Of Modern Sciences,Tando Muhammad Khan,"MBBS , 5 Hours",0.0,30-11-2022,Medicine - Mbbs
10,11. Isra University/hospital,Hyderabad,"MBBS , 5 Years",1300000.0,05-01-2024,Medicine - Mbbs
11,12. Bahria University Medical & Dental College,Karachi,"MBBS , 5 Years",1100000.0,03-11-2023,Medicine - Mbbs
12,13. Baqai Medical University,Karachi,"MBBS , 5 Years",1225000.0,05-01-2024,Medicine - Mbbs
13,14. Hamdard University,Karachi,"MBBS , 5 Years",1375000.0,05-01-2024,Medicine - Mbbs
14,15. Zia-ud-din Medical University,Karachi,"MBBS , 5 Years",1660000.0,05-01-2024,Medicine - Mbbs
15,16. University College Of Medicine And Dentistry,Lahore,"MBBS , 5 Years",1640000.0,31-10-2023,Medicine - Mbbs
16,17. Ayub Medical College / Ayub Hospital,Abbottabad,"MBBS , 5 Years",200000.0,12-12-2023,Medicine - Mbbs
17,18. Quaid-e-azam Medical College / Victoria Hospital,Bahawal Pur,"MBBS , 5 Years",15630.0,31-10-2023,Medicine - Mbbs
18,19. Bannu Medical College,Bannu,"MBBS , 5 Years",0.0,12-12-2023,Medicine - Mbbs
19,20. D. G. Khan Medical College,D.g.khan,"MBBS , 5 Years",15630.0,31-10-2023,Medicine - Mbbs
20,1. Liaquat University Of Medical And Health Sciences,Jamshoro,"BDS , 4 Years",31900.0,11-12-2023,Dentistry
21,2. Jinnah Sindh Medical University,Karachi,"BDS , 4 Years",175000.0,11-12-2023,Dentistry
22,3. Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,"BDS , 4 Years",31900.0,11-12-2023,Dentistry
23,4. Nishtar Medical College / Nishter Hospital,Multan,"BDS , 4 Years",15650.0,31-10-2023,Dentistry
24,5. Peoples University Of Medical And Health Sciences For Women,Nawab Shah,"BDS , 4 Years",31900.0,20-12-2023,Dentistry
25,6. Bolan Medical College / Bolan Hospital,Quetta,"BDS , 4 Years",70000.0,07-08-2023,Dentistry
26,7. Isra University/hospital,Hyderabad,"BDS , 4 Years",1250000.0,05-01-2024,Dentistry
27,8. Bahria University Medical & Dental College,Karachi,"BDS , 4 Years",1400000.0,03-11-2023,Dentistry
28,9. Baqai Medical University,Karachi,"BDS , 4 Years",1225000.0,05-01-2024,Dentistry
29,10. Hamdard University,Karachi,"BDS , 4 Years",1280000.0,05-01-2024,Dentistry
30,11. Zia-ud-din Medical University,Karachi,"BDS , 4 Years",1660000.0,05-01-2024,Dentistry
31,12. University College Of Medicine And Dentistry,Lahore,"BDS , 4 Years",1640000.0,31-10-2023,Dentistry
32,13. Ayub Medical College / Ayub Hospital,Abbottabad,"BDS , 4 Years",600000.0,12-12-2023,Dentistry
33,14. Punjab Medical College / Allied Hospital,Faisalabad,"BDS , 4 Years",15650.0,31-10-2023,Dentistry
34,15. Federal Medical And Dental College,Islamabad,"BDS , 4 Years",24000.0,08-12-2023,Dentistry
35,16. Dow Medical College (dmc Campus),Karachi,"BDS , 4 Years",160000.0,13-12-2023,Dentistry
36,17. Dr Ishrat Ul Ebad Institute Of Oral Health Sciences (smc Campus),Karachi,"BDS , 4 Years",160000.0,12-11-2022,Dentistry
37,18. Karachi Medical & Dental College / Abbasi Shaheed Hospital,Karachi,"BDS , 4 Years",32000.0,11-12-2023,Dentistry
38,19. De'montmorency College Of Dentistry / Dental Hospital,Lahore,"BDS , 4 Years",15650.0,12-12-2022,Dentistry
39,20. Bacha Khan Medical College,Mardan,"BDS , 4 Years",0.0,12-12-2023,Dentistry
