"selection1_name","selection1_Institution_name"
"Programmes","Institutions"
"Programmes","Institutions"
"Programmes","Institutions"
"Mechanical Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)
College of Electrical and Mechanical Engineering, Rawalpindi (CEME)
Pakistan Navy Engineering College, Karachi (PNEC)"
"Mechanical Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)"
"Mechanical Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)"
"Mechanical Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Mechanical Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Mechanical Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Mechanical Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Electrical Engineering","School of Electrical Engineering and Computer Science, Islamabad (SEECS)
College of Electrical and Mechanical Engineering, Rawalpindi (CEME)
Pakistan Navy Engineering College, Karachi (PNEC)
Military College of Signals, Rawalpindi (MCS)"
"Electrical Engineering","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"Electrical Engineering","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"Electrical Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Electrical Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Electrical Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Electrical Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Electrical Engineering","Military College of Signals, Rawalpindi (MCS)"
"Electrical Engineering","Military College of Signals, Rawalpindi (MCS)"
"Mechatronics Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Mechatronics Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"Civil Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)
Military College of Engineering, Risalpur (MCE)
NUST Balochistan Campus, Quetta"
"Civil Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Civil Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Civil Engineering","Military College of Engineering, Risalpur (MCE)"
"Civil Engineering","Military College of Engineering, Risalpur (MCE)"
"Civil Engineering","NUST Balochistan Campus, Quetta"
"Civil Engineering","NUST Balochistan Campus, Quetta"
"Chemical Engineering","School of Chemical and Materials Engineering, Islamabad (SCME)"
"Chemical Engineering","School of Chemical and Materials Engineering, Islamabad (SCME)"
"Metallurgy and Materials Engineering","School of Chemical and Materials Engineering, Islamabad (SCME)"
"Metallurgy and Materials Engineering","School of Chemical and Materials Engineering, Islamabad (SCME)"
"Avionics Engineering","College of Aeronautical Engineering, Risalpur (CAE)"
"Avionics Engineering","College of Aeronautical Engineering, Risalpur (CAE)"
"Aerospace Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)
College of Aeronautical Engineering, Risalpur (CAE)"
"Aerospace Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)"
"Aerospace Engineering","School of Mechanical and Manufacturing Engineering, Islamabad (SMME)"
"Aerospace Engineering","College of Aeronautical Engineering, Risalpur (CAE)"
"Aerospace Engineering","College of Aeronautical Engineering, Risalpur (CAE)"
"Geoinformatics Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Geoinformatics Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Environmental Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Environmental Engineering","School of Civil and Environmental Engineering, Islamabad (SCEE)"
"Naval Architecture Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Naval Architecture Engineering","Pakistan Navy Engineering College, Karachi (PNEC)"
"Software Engineering","Military College of Signals, Rawalpindi (MCS)
School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"Software Engineering","Military College of Signals, Rawalpindi (MCS)"
"Software Engineering","Military College of Signals, Rawalpindi (MCS)"
"Software Engineering","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"Software Engineering","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"Computer Engineering","College of Electrical and Mechanical Engineering, Rawalpindi (CEME)"
"BE Information Security","Military College of Signals, Rawalpindi (MCS)"
"Programmes","Institutions"
"Programmes","Institutions"
"Programmes","Institutions"
"BS Computer Science","School of Electrical Engineering and Computer Science, Islamabad (SEECS)
NUST Balochistan Campus, Quetta"
"BS Computer Science","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"BS Computer Science","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"BS Computer Science","NUST Balochistan Campus, Quetta"
"BS Computer Science","NUST Balochistan Campus, Quetta"
"BS Data Science","School of Electrical Engineering and Computer Science, Islamabad (SEECS)"
"BS Bioinformatics","School of Interdisciplinary Engineering & Sciences (SINES)"
"Programmes","Institutions"
"Programmes","Institutions"
"Programmes","Institutions"
"BBA","NUST Business School, Islamabad (NBS)"
"BBA","NUST Business School, Islamabad (NBS)"
"BS Accounting and Finance",""
"BS Tourism and Hospitality Management",""
"BS Economics","School of Social Sciences & Humanities (S3H)"
"BS Economics","School of Social Sciences & Humanities (S3H)"
"Bachelor in Public​ Administration​",""
"BS Mass Communication",""
"​BS Psychology",""
"LLB",""
"Programmes","Institutions"
"Programmes","Institutions"
"Programmes","Institutions"
"B Architecture","School of Art, Design and Architecture, Islamabad (SADA)"
"B Architecture","School of Art, Design and Architecture, Islamabad (SADA)"
"B Industrial Design","School of Art, Design and Architecture, Islamabad (SADA)"
"B Industrial Design","School of Art, Design and Architecture, Islamabad (SADA)"
"Programmes","Institutions"
"BS Mathematics","School of Natural Sciences, Islamabad (SNS)"
"BS Physics","School of Natural Sciences, Islamabad (SNS)"
"BS Chemistry","​School of Natural Sciences, Islamabad (SNS)"
"Programme","Institutions"
"BS Biotechnology","Atta Ur Rehman School of Applied Biosciences, Islamabad (ASAB)"
"BS Food Science and Technology","Atta Ur Rehman School of Applied Biosciences, Islamabad (ASAB)"
