"Unversity_name","Unversity_Sector","Unversity_City","Unversity_Address","Unversity_Phone","Unversity_Other_details"
"ABASYN UNIVERSITY","Private","Peshawar","Peshawar Campus, Ring Road (Charsadda Link), Peshawar.","92-91-258 2934, +92-91- 224867","Email: admissions@abasyn.edu.pk
Fax:+92 051 8438325
URL:http://www.abasyn.edu.pk/"
"Abbottabad University of Science and Technology (AUST)","","","","",""
"ABDUL WALI KHAN UNIVERSITY","Public","Mardan","Garden Campus Toru Road, Mardan","+92-937-843356, +92-937-840499","Email: ua-cdc@awkum.edu.pk
Fax:
URL:http://www.awkum.edu.pk"
"Abottabad University of Science And Technology (AUST)","","","","",""
"Aga Khan University","Private","Karachi","First Floor, Juma Building The Aga Khan University P.O. Box 3500, Stadium Road, Karachi 74800, Pakistan","+92 21 3493 0051","Email: mc.ea@aku.edu
Fax:+92 21 3493 4294, 34
URL:https://www.aku.edu/"
"AIR UNIVERSITY","","","","",""
"AL-HAMD ISLAMIC UNIVERSITY","Private","Quetta","Airport Road Quetta, Baleli Road, Quetta, Pakistan","+92-81-2301771-6, 4, 3,2","Email: info@aiu.edu.pk
Fax:
URL:http://www.aiu.edu.pk"
"Al-Khair University (Banned by HEC)","","","","",""
"ALI INSTITUTE OF EDUCATION","Private","Lahore","Shahrah-e-Roomi (Ferozpur Road), Lahore 54000.","+92.423 588 2913","Email: info@aie.edu.pk
Fax:
URL:http://www.aie.edu.pk/"
"ALLAMA IQBAL OPEN UNIVERSITY","","","","",""
"Bacha Khan University","Public","testcity","Bacha Khan University, Palosa, Charsadda.","091-6540116","Email: webmaster@bkuc.edu.pk
Fax:
URL:http://www.bkuc.edu.pk/"
"BAHAUDDIN ZAKARIYA UNIVERSITY","","","","",""
"BAHRIA UNIVERSITY","Public","Islamabad","Sector E-8، Shangrilla Rd, Islamabad, Pakistan","+92-51-111-111-028","Email: info@bahria.edu.pk
Fax: 92-51-9260885
URL:http://www.bahria.edu.pk/"
"Balochistan University of Engineering & Technology","","","","",""
"BALOCHISTAN UNIVERSITY OF INFORMATION TECHNOLOGY & MANAGEMENT SCIENCES","Public","Quetta","Balochistan University of Information Technology, Engineering and Management Sciences, Airport Road, Baleli, Quetta.","+92-81-2881042081, +92-81-9202","Email: faisal.durrani@buitms.edu.pk
Fax:+92 (81) 2880522
URL:http://www.buitms.edu.pk"
"BAQAI MEDICAL UNIVERSITY","","","","",""
"Barret Hodgson University","Private","Karachi","The Salim Habib Campus, NC-24, Deh Dih, Korangi Creek, Karachi","92 21 35122931-35","Email: info@bhu.edu.pk
Fax:
URL:http://www.bhu.edu.pk/"
"BEACONHOUSE NATIONAL UNIVERSITY","","","","",""
"BENAZIR BHUTTO SHAHEED UNIVERSITY LYARI","Public","Karachi","Fakir Muhammad Dura Khan Road, Near “Kashti Chowk” Lyari, Karachi, Postal Code: 75660.","+92-21-32744020, +92-21-327440","Email: info@bbsul.edu.pk
Fax:
URL:http://www.bbsul.edu.pk"
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs","","","","",""
"Brains Institute Peshawar","Private","Peshawar","Phase III Chowk, Jamrud Road, Peshawar","+92-91-5611637","Email: info@brains.edu.pk
Fax:
URL:http://brains.edu.pk"
"CAPITAL UNIVERSITY OF SCIENCE & TECHNOLOGY","","","","",""
"CECOS UNIVERSITY OF INFORMATION TECHNOLOGY & EMERGING SCIENCES","Private","Peshawar","CECOS University, Phase 6, Sector F-5, Hayatabad, Peshawar.","+92-91-5864291","Email: info@www.cecos.edu.pk
Fax:(92) (091) 5860294
URL:http://www.cecos.edu.pk"
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur","","","","",""
"CITY UNIVERSITY OF SCIENCE AND INFORMATION TECHNOLOGY","Private","Peshawar","City University Of Science and Information Technology Dalazak Road Peshawar, Pakistan.","+92-91-2609501-8","Email: info@cusit.edu.pk
Fax:+92 91 2609500
URL:http://www.cityuniversity.edu.pk"
"COMMECS INSTITUTE OF BUSINESS & EMERGING SCIENCES","","","","",""
"COMSATS INSTITUTE OF INFORMATION TECHNOLOGY","Public","Islamabad","Park Road, Tarlai Kalan, Islamabad 45550, Pakistan","051-90495112","Email: registrar@comsats.edu.pk
Fax:051-9247006
URL:https://www.comsats.edu.pk/"
"DADABHOY INSTITUTE OF HIGHER EDUCATION","","","","",""
"DAWOOD UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Karachi","M.A. Jinnah Road, Karachi 74800.","+92-21-99230701, +92-21-992311","Email: info@duet.edu.pk
Fax:021-99230710
URL:http://www.duet.edu.pk"
"DHA SUFFA UNIVERSITY","","","","",""
"DOW UNIVERSITY OF HEALTH SCIENCES","Public","Karachi","Baba-E-Urdu Road, Karachi 74200.","+92-21-99215754-7 +92-21-32715","Email: ctu@duhs.edu.pk
Fax:
URL:http://www.duhs.edu.pk"
"Emaan Institute of Management & Sciences, Karachi","","","","",""
"Faisalabad Medical University, Faisalabad","Public","Faisalabad","Sargodha Road, Faisalabad-Punjab Pakistan","+92-41-9210080","Email: vcfmuf@gmail.com
Fax:
URL:http://www.pmc.edu.pk/"
"FATIMA JINNAH MEDICAL UNIVERSITY, LAHORE","","","","",""
"Fatima Jinnah Women University","Public","Rawalpindi","The Mall, Old Presidency, Rawalpindi","+92-51-9292901,+92-51-9292902","Email: bhs@fjwu.edu.pk
Fax:+92 (0)51 9292903
URL:http://www.fjwu.edu.pk"
"FEDERAL URDU UNIVERSITY OF ARTS, SCIENCES & TECHNOLOGY","","","","",""
"FORMAN CHRISTIAN COLLEGE","Private","Lahore","Forman Christian College Ferozepur Road Lahore 54600 Pakistan","+92-42-99230782, +92-42-992315","Email: contact@fccollege.edu.pk
Fax: +92 (42) 9923 0703
URL:http://www.fccollege.edu.pk"
"FOUNDATION UNIVERSITY","","","","",""
"Gambat Institute of Medical Sciences","Public","Khairpur","Gambat Institute of Medical Sciences, Gambat Station Road, Pakistan.","92-243-640160","Email: mailus@gims.edu.pk
Fax:
URL:http://www.gims.edu.pk/"
"GANDHARA UNIVERSITY","","","","",""
